x,y
-2.2706,-3.7196
-2.4744,-3.3696
-1.4713,-3.3696
-0.9638,-3.0196
-2.6348,-3.0196
-2.8206,-2.6696
-0.4321,-2.6696
0.3523,-2.3196
-3.0414,-2.3196
-3.3101,-1.9696
0.7269,-1.9696
0.4474,-1.6196
-3.6112,-1.6196
-3.8408,-1.2696
0.1144,-1.2696
-0.2233,-0.9196
-4.0473,-0.9196
-4.2617,-0.5696
-0.5136,-0.5696
-0.6094,-0.2196
-4.5131,-0.2196
-4.761,0.1304
-0.6549,0.1304
-0.6158,0.4804
-4.9444,0.4804
-5.1414,0.8304
-0.5135,0.8304
-0.3671,1.1804
-5.3735,1.1804
-5.6353,1.5304
-0.1599,1.5304
0.1271,1.8804
-5.9055,1.8804
-6.1661,2.2304
0.5303,2.2304
1.0304,2.5804
-6.4399,2.5804
-6.7565,2.9304
1.5676,2.9304
1.9636,3.2804
-7.0631,3.2804
-7.3351,3.6304
2.3129,3.6304
2.6747,3.9804
-7.6029,3.9804
-7.8643,4.3304
-3.5702,4.3304
-4.0595,4.6804
-8.098,4.6804
-8.3044,5.0304
-4.4396,5.0304
-4.7357,5.3804
-8.6332,5.3804
-8.4123,5.7304
-5.079,5.7304
-5.5301,6.0804
-7.8595,6.0804
-7.3945,6.4304
-5.8232,6.4304
-6.0188,6.7804
-6.9131,6.7804
-6.5201,7.1304
-6.3764,7.1304
-2.07,4.3304
3.0024,4.3304
3.4345,4.6804
-1.6236,4.6804
-1.1296,5.0304
3.9305,5.0304
4.0843,5.3804
-0.4356,5.3804
0.1236,5.7304
3.9674,5.7304
3.7578,6.0804
0.6838,6.0804
1.3919,6.4304
3.5032,6.4304
3.3222,6.7804
1.9921,6.7804
2.5056,7.1304
3.1585,7.1304
